title,url,rating,sum_ecv
Lasagnes végétariennes toutes vertes,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-toutes-vertes_52788.aspx,4.5,1.51038
Galette végétarienne (steak végétal),https://www.marmiton.org/recettes/recette_galette-vegetarienne-steak-vegetal_227793.aspx,4.5,1.062581
Paté végétal au tofu,https://www.marmiton.org/recettes/recette_pate-vegetal-au-tofu_14086.aspx,4.5,0.688134
Cake végétarien aux épices,https://www.marmiton.org/recettes/recette_cake-vegetarien-aux-epices_83785.aspx,4.6,0.338042
Omelette façon chinoise (végétarien),https://www.marmiton.org/recettes/recette_omelette-facon-chinoise-vegetarien_223072.aspx,4.8,0.450722
"Frichti végétarien complet et savoureux aux lentilles, pommes de terre et poireaux",https://www.marmiton.org/recettes/recette_frichti-vegetarien-complet-et-savoureux-aux-lentilles-pommes-de-terre-et-poireaux_170688.aspx,4.8,0.803891
Riz Tandoori végétarien,https://www.marmiton.org/recettes/recette_riz-tandoori-vegetarien_19663.aspx,4.6,2.108426
Lasagnes aux steaks végétariens,https://www.marmiton.org/recettes/recette_lasagnes-aux-steaks-vegetariens_95431.aspx,5,1.216201
Lasagnes végétariennes aux 2 couleurs,https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-aux-2-couleurs_224674.aspx,5,0.47315299999999993
Cassoulet végétarien aux légumes variés,https://www.marmiton.org/recettes/recette_cassoulet-vegetarien-aux-legumes-varies_22937.aspx,4.2,0.626889
Beignets végétariens à la tomate,https://www.marmiton.org/recettes/recette_beignets-vegetariens-a-la-tomate_53417.aspx,4.3,0.225361
Gâteau de semoule aux pommes (végétalien),https://www.marmiton.org/recettes/recette_gateau-de-semoule-aux-pommes-vegetalien_315951.aspx,4.4,0.163278
Hamburgers végétariens aux lentilles corail,https://www.marmiton.org/recettes/recette_hamburgers-vegetariens-aux-lentilles-corail_225107.aspx,4.4,0.258067
Bhajias indiens végétariens,https://www.marmiton.org/recettes/recette_bhajias-indiens-vegetariens_37277.aspx,4.5,0.235429
Wok végétarien,https://www.marmiton.org/recettes/recette_wok-vegetarien_339575.aspx,4.7,1.1438760000000001
Salade de riz végétarienne,https://www.marmiton.org/recettes/recette_salade-de-riz-vegetarienne_531273.aspx,5,1.25692
Club sandwich végétarien délicieux,https://www.marmiton.org/recettes/recette_club-sandwich-vegetarien-delicieux_528529.aspx,5,1.777884
Fajitas Végétariennes,https://www.marmiton.org/recettes/recette_fajitas-vegetariennes_336211.aspx,5,0.15615300000000001
Tarte provençale végétarienne tomates séchées-fêta,https://www.marmiton.org/recettes/recette_tarte-provencale-vegetarienne-tomates-sechees-feta_54726.aspx,4.2,1.396196
Fajitas végétarienne pour l'été,https://www.marmiton.org/recettes/recette_fajitas-vegetarienne-pour-l-ete_73666.aspx,4.4,0.247542
Chili vegan au haché végétal,https://www.marmiton.org/recettes/recette_chili-vegan-au-hache-vegetal_335676.aspx,4.5,0.75072
